
achievement_card_progressbar | progressbar_style
   0.743 Script @__level__/control.lua:514: green_slot | button_style
   0.743 Script @__level__/control.lua:514: grey_label | label_style
   0.743 Script @__level__/control.lua:514: heading_2_label | label_style
   0.743 Script @__level__/control.lua:514: health_progressbar | progressbar_style
   0.743 Script @__level__/control.lua:514: heat_progressbar | progressbar_style
   0.743 Script @__level__/control.lua:514: highlighted_tool_button | button_style
   0.743 Script @__level__/control.lua:514: highlighted_value_textfield | textbox_style
   0.743 Script @__level__/control.lua:514: horizontal_flow | horizontal_flow_style
   0.743 Script @__level__/control.lua:514: horizontal_flow_with_extra_right_margin | horizontal_flow_style
   0.743 Script @__level__/control.lua:514: horizontal_scrollbar | horizontal_scrollbar_style
   0.743 Script @__level__/control.lua:514: horizontally_limited_equipment_grid_scroll_pane | scroll_pane_style
   0.743 Script @__level__/control.lua:514: hyperlink_label | label_style
   0.743 Script @__level__/control.lua:514: image | image_style
   0.743 Script @__level__/control.lua:514: image_tab_selected_slot | button_style
   0.743 Script @__level__/control.lua:514: image_tab_slot | button_style
   0.743 Script @__level__/control.lua:514: info_label | label_style
   0.743 Script @__level__/control.lua:514: inset_frame_container_frame | frame_style
   0.743 Script @__level__/control.lua:514: inset_frame_container_horizontal_flow | horizontal_flow_style
   0.743 Script @__level__/control.lua:514: inset_frame_container_horizontal_flow_in_tabbed_pane | horizontal_flow_style
   0.743 Script @__level__/control.lua:514: inset_frame_container_table | table_style
   0.743 Script @__level__/control.lua:514: inset_frame_container_vertical_flow | vertical_flow_style
   0.743 Script @__level__/control.lua:514: inside_deep_frame | frame_style
   0.743 Script @__level__/control.lua:514: inside_shallow_frame | frame_style
   0.743 Script @__level__/control.lua:514: inside_shallow_frame_packed | frame_style
   0.743 Script @__level__/control.lua:514: inside_shallow_frame_with_padding | frame_style
   0.743 Script @__level__/control.lua:514: inside_shallow_frame_with_padding_and_vertical_spacing | frame_style
   0.743 Script @__level__/control.lua:514: inside_shallow_frame_with_padding_line | line_style
   0.743 Script @__level__/control.lua:514: install_mod_status_image | image_style
   0.743 Script @__level__/control.lua:514: invalid_value_short_number_textfield | textbox_style
   0.743 Script @__level__/control.lua:514: invalid_value_textfield | textbox_style
   0.743 Script @__level__/control.lua:514: inventory_frame | frame_style
   0.743 Script @__level__/control.lua:514: inventory_frame_title_style | label_style
   0.743 Script @__level__/control.lua:514: inventory_limit_slot_button | button_style
   0.743 Script @__level__/control.lua:514: inventory_slot | button_style
   0.743 Script @__level__/control.lua:514: invisible_frame | frame_style
   0.743 Script @__level__/control.lua:514: item_and_count_select_confirm | button_style
   0.743 Script @__level__/control.lua:514: item_spoilage_in_description_progress_bar | progressbar_style
   0.743 Script @__level__/control.lua:514: lab_progress_and_slot_divider | line_style
   0.743 Script @__level__/control.lua:514: lab_progress_and_slot_divider_empty | line_style
   0.743 Script @__level__/control.lua:514: lab_technology_frame | frame_style
   0.743 Script @__level__/control.lua:514: lab_technology_frame_empty | frame_style
   0.743 Script @__level__/control.lua:514: label | label_style
   0.743 Script @__level__/control.lua:514: label_under_widget | label_style
   0.743 Script @__level__/control.lua:514: label_with_left_padding | label_style
   0.743 Script @__level__/control.lua:514: line | line_style
   0.743 Script @__level__/control.lua:514: list_box | list_box_style
   0.743 Script @__level__/control.lua:514: list_box_item | button_style
   0.743 Script @__level__/control.lua:514: list_box_under_subheader | list_box_style
   0.743 Script @__level__/control.lua:514: locale_dropdown | dropdown_style
   0.743 Script @__level__/control.lua:514: locomotive_minimap_button | button_style
   0.743 Script @__level__/control.lua:514: logistic_gui_items_scroll_pane | scroll_pane_style
   0.743 Script @__level__/control.lua:514: logistic_section_repeated_subheader_frame | frame_style
   0.743 Script @__level__/control.lua:514: logistic_section_subheader_frame | frame_style
   0.743 Script @__level__/control.lua:514: logistic_sections_scroll_pane | scroll_pane_style
   0.743 Script @__level__/control.lua:514: logistics_diode | image_style
   0.743 Script @__level__/control.lua:514: long_number_textfield | textbox_style
   0.743 Script @__level__/control.lua:514: main_menu_version_label | label_style
   0.743 Script @__level__/control.lua:514: main_progressbar_frame | frame_style
   0.743 Script @__level__/control.lua:514: map_details_frame | frame_style
   0.743 Script @__level__/control.lua:514: map_generator_13_notch_slider | slider_style
   0.743 Script @__level__/control.lua:514: map_generator_close_preview_button | button_style
   0.743 Script @__level__/control.lua:514: map_generator_confirm_button | button_style
   0.743 Script @__level__/control.lua:514: map_generator_frequency_table | table_style
   0.743 Script @__level__/control.lua:514: map_generator_notched_slider | slider_style
   0.743 Script @__level__/control.lua:514: map_generator_notched_slider_wide | slider_style
   0.743 Script @__level__/control.lua:514: map_generator_preview_button | button_style
   0.743 Script @__level__/control.lua:514: map_info_image | image_style
   0.743 Script @__level__/control.lua:514: map_preview_scroll_pane | scroll_pane_style
   0.743 Script @__level__/control.lua:514: map_view_add_button | button_style
   0.743 Script @__level__/control.lua:514: mappers_scroll_pane | scroll_pane_style
   0.743 Script @__level__/control.lua:514: mappers_table | table_style
   0.743 Script @__level__/control.lua:514: menu_button | button_style
   0.743 Script @__level__/control.lua:514: menu_button_continue | button_style
   0.743 Script @__level__/control.lua:514: mini_button | button_style
   0.743 Script @__level__/control.lua:514: mini_button_aligned_to_text_vertically | button_style
   0.743 Script @__level__/control.lua:514: mini_button_aligned_to_text_vertically_when_centered | button_style
   0.743 Script @__level__/control.lua:514: mini_tool_button_red | button_style
   0.743 Script @__level__/control.lua:514: minimap | minimap_style
   0.743 Script @__level__/control.lua:514: minimap_frame | frame_style
   0.743 Script @__level__/control.lua:514: minimap_widget_under_subheader | empty_widget_style
   0.743 Script @__level__/control.lua:514: mining_progressbar | progressbar_style
   0.743 Script @__level__/control.lua:514: mod_attribute_image | image_style
   0.743 Script @__level__/control.lua:514: mod_explore_thumbnail_image | image_style
   0.743 Script @__level__/control.lua:514: mod_startup_settings_mismatch_notice_box | textbox_style
   0.743 Script @__level__/control.lua:514: mod_thumbnail_image | image_style
   0.743 Script @__level__/control.lua:514: mod_updates_status_image | image_style
   0.743 Script @__level__/control.lua:514: mods_explore_results_table | table_style
   0.743 Script @__level__/control.lua:514: mods_filter_exclude_button | button_style
   0.743 Script @__level__/control.lua:514: mods_filter_hit_count_label | label_style
   0.743 Script @__level__/control.lua:514: mods_scroll_pane | scroll_pane_style
   0.743 Script @__level__/control.lua:514: mods_sorting_image | image_style
   0.744 Script @__level__/control.lua:514: naked_list_box | list_box_style
   0.744 Script @__level__/control.lua:514: naked_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: negative_message_frame | frame_style
   0.744 Script @__level__/control.lua:514: negative_subheader_frame | frame_style
   0.744 Script @__level__/control.lua:514: neutral_message_frame | frame_style
   0.744 Script @__level__/control.lua:514: new_game_difficulty_vertical_flow | vertical_flow_style
   0.744 Script @__level__/control.lua:514: new_game_header_list_box_item | button_style
   0.744 Script @__level__/control.lua:514: new_game_info_image | image_style
   0.744 Script @__level__/control.lua:514: new_game_subfooter | frame_style
   0.744 Script @__level__/control.lua:514: no_header_filler_frame | frame_style
   0.744 Script @__level__/control.lua:514: no_path_station_in_schedule_in_train_view_list_box_item | button_style
   0.744 Script @__level__/control.lua:514: non_draggable_frame | frame_style
   0.744 Script @__level__/control.lua:514: not_accessible_station_in_station_selection | button_style
   0.744 Script @__level__/control.lua:514: not_working_weapon_button | button_style
   0.744 Script @__level__/control.lua:514: notched_double_slider | double_slider_style
   0.744 Script @__level__/control.lua:514: notched_slider | slider_style
   0.744 Script @__level__/control.lua:514: notice_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: notice_textbox | textbox_style
   0.744 Script @__level__/control.lua:514: number_input_frame | frame_style
   0.744 Script @__level__/control.lua:514: omitted_technology_slot | button_style
   0.744 Script @__level__/control.lua:514: open_armor_button | button_style
   0.744 Script @__level__/control.lua:514: orange_label | label_style
   0.744 Script @__level__/control.lua:514: other_settings_gui_button | button_style
   0.744 Script @__level__/control.lua:514: other_settings_gui_textbox | textbox_style
   0.744 Script @__level__/control.lua:514: other_settings_slider | slider_style
   0.744 Script @__level__/control.lua:514: packed_horizontal_flow | horizontal_flow_style
   0.744 Script @__level__/control.lua:514: packed_vertical_flow | vertical_flow_style
   0.744 Script @__level__/control.lua:514: padded_vertical_flow | vertical_flow_style
   0.744 Script @__level__/control.lua:514: partially_accessible_station_in_station_selection | button_style
   0.744 Script @__level__/control.lua:514: permissions_groups_list_box | list_box_style
   0.744 Script @__level__/control.lua:514: permissions_players_list_box | list_box_style
   0.744 Script @__level__/control.lua:514: pins_frame | frame_style
   0.744 Script @__level__/control.lua:514: pins_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: player_input_horizontal_flow | horizontal_flow_style
   0.744 Script @__level__/control.lua:514: player_input_table | table_style
   0.744 Script @__level__/control.lua:514: players_table | table_style
   0.744 Script @__level__/control.lua:514: positive_message_frame | frame_style
   0.744 Script @__level__/control.lua:514: production_graph | graph_style
   0.744 Script @__level__/control.lua:514: production_progressbar | progressbar_style
   0.744 Script @__level__/control.lua:514: progressbar | progressbar_style
   0.744 Script @__level__/control.lua:514: promised_crafting_queue_slot | button_style
   0.744 Script @__level__/control.lua:514: quick_bar_inner_panel | frame_style
   0.744 Script @__level__/control.lua:514: quick_bar_page_button | button_style
   0.744 Script @__level__/control.lua:514: quick_bar_slot_window_frame | frame_style
   0.744 Script @__level__/control.lua:514: quick_panel_slot_button_deep_frame | frame_style
   0.744 Script @__level__/control.lua:514: quick_panel_tabbed_pane | tabbed_pane_style
   0.744 Script @__level__/control.lua:514: quickbar_holder_flow | vertical_flow_style
   0.744 Script @__level__/control.lua:514: radiobutton | radiobutton_style
   0.744 Script @__level__/control.lua:514: recipe_count_line_label | label_style
   0.744 Script @__level__/control.lua:514: recipe_tooltip_horizontal_image | image_style
   0.744 Script @__level__/control.lua:514: red_back_button | button_style
   0.744 Script @__level__/control.lua:514: red_button | button_style
   0.744 Script @__level__/control.lua:514: red_circuit_network_content_slot | button_style
   0.744 Script @__level__/control.lua:514: red_confirm_button | button_style
   0.744 Script @__level__/control.lua:514: red_inventory_slot | button_style
   0.744 Script @__level__/control.lua:514: red_label | label_style
   0.744 Script @__level__/control.lua:514: red_slider | slider_style
   0.744 Script @__level__/control.lua:514: red_slot | button_style
   0.744 Script @__level__/control.lua:514: red_slot_button | button_style
   0.744 Script @__level__/control.lua:514: relative_gui_bottom_flow | horizontal_flow_style
   0.744 Script @__level__/control.lua:514: relative_gui_left_flow | vertical_flow_style
   0.744 Script @__level__/control.lua:514: relative_gui_right_flow | vertical_flow_style
   0.744 Script @__level__/control.lua:514: relative_gui_top_flow | horizontal_flow_style
   0.744 Script @__level__/control.lua:514: removed_content_table | table_style
   0.744 Script @__level__/control.lua:514: repeated_subheader_frame | frame_style
   0.744 Script @__level__/control.lua:514: research_info_tooltip_graph | graph_style
   0.744 Script @__level__/control.lua:514: research_progress_inner_frame_active | frame_style
   0.744 Script @__level__/control.lua:514: research_progress_inner_frame_inactive | frame_style
   0.744 Script @__level__/control.lua:514: research_queue_active_glow_dark | glow_style
   0.744 Script @__level__/control.lua:514: research_queue_active_glow_light | glow_style
   0.744 Script @__level__/control.lua:514: research_queue_active_glow_outer | glow_style
   0.744 Script @__level__/control.lua:514: research_queue_cancel_button | button_style
   0.744 Script @__level__/control.lua:514: research_queue_drag_handle | empty_widget_style
   0.744 Script @__level__/control.lua:514: research_queue_table | table_style
   0.744 Script @__level__/control.lua:514: researched_preview_technology_slot | technology_slot_style
   0.744 Script @__level__/control.lua:514: researched_technology_slot | technology_slot_style
   0.744 Script @__level__/control.lua:514: right_container_frame | frame_style
   0.744 Script @__level__/control.lua:514: right_side_frame | frame_style
   0.744 Script @__level__/control.lua:514: rocket_weight_used_progress_bar | progressbar_style
   0.744 Script @__level__/control.lua:514: schedule_in_train_view_list_box | list_box_style
   0.744 Script @__level__/control.lua:514: scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: scroll_pane_in_shallow_frame | scroll_pane_style
   0.744 Script @__level__/control.lua:514: scroll_pane_under_subheader | scroll_pane_style
   0.744 Script @__level__/control.lua:514: search_popup_frame | frame_style
   0.744 Script @__level__/control.lua:514: search_popup_textfield | textbox_style
   0.744 Script @__level__/control.lua:514: semibold_caption_label | label_style
   0.744 Script @__level__/control.lua:514: semibold_label | label_style
   0.744 Script @__level__/control.lua:514: shallow_frame | frame_style
   0.744 Script @__level__/control.lua:514: shallow_frame_in_shallow_frame | frame_style
   0.744 Script @__level__/control.lua:514: shallow_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: shallow_slots_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: shield_progressbar | progressbar_style
   0.744 Script @__level__/control.lua:514: short_number_textfield | textbox_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_button | button_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_button_blue | button_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_button_green | button_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_button_red | button_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_button_small | button_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_button_small_blue | button_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_button_small_green | button_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_button_small_red | button_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_expand_button | button_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_inner_panel | frame_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_selection_scroll_pane | scroll_pane_style
   0.744 Script @__level__/control.lua:514: shortcut_bar_window_frame | frame_style
   0.744 Script @__level__/control.lua:514: shortcut_selection_row | frame_style
   0.744 Script @__level__/control.lua:514: side_menu_button | button_style
   0.744 Script @__level__/control.lua:514: side_menu_frame | frame_style
   0.744 Script @__level__/control.lua:514: slider | slider_style
   0.744 Script @__level__/control.lua:514: slider_value_textfield | textbox_style
   0.744 Script @__level__/control.lua:514: slightly_smaller_tab | tab_style
   0.744 Script @__level__/control.lua:514: slot | button_style
   0.744 Script @__level__/control.lua:514: slot_button | button_style
   0.744 Script @__level__/control.lua:514: slot_button_deep_frame | frame_style
   0.744 Script @__level__/control.lua:514: slot_button_in_shallow_frame | button_style
   0.744 Script @__level__/control.lua:514: slot_column_header_label | label_style
   0.744 Script @__level__/control.lua:514: slot_group_frame | frame_style
   0.744 Script @__level__/control.lua:514: slot_sized_button | button_style
   0.744 Script @__level__/control.lua:514: slot_sized_button_blue | button_style
   0.744 Script @__level__/control.lua:514: slot_sized_button_green | button_style
   0.744 Script @__level__/control.lua:514: slot_sized_button_red | button_style
   0.744 Script @__level__/control.lua:514: slot_table | table_style
